,Mating,Ratio,Replicate
0,WT (ic) x ∆cob,16.22002820874471,rep2
1,WT (ic) x ∆cob,18.51326716629532,rep3
2,WT (ic) x ∆cob,18.88203780450824,rep1
3,WT (ic) x ∆cox2,19.265314360682208,rep1
4,WT (ic) x ∆cox2,31.674071082390952,rep2
5,WT (ic) x ∆cox2,32.1218870216643,rep3
6,WT (ic) x WT (ic),58.14949668,rep1
7,WT (ic) x WT (ic),54.30777149,rep2
8,WT (ic) x WT (ic),68.53336222,rep3
9,WT (ic) x ∆atp6,27.902508090614887,rep1
10,WT (ic) x ∆atp6,26.646464646464647,rep2
11,WT (ic) x ∆atp6,37.85013651532005,rep3
12,WT (ic) x WT (il),36.55276381909548,rep3
13,WT (ic) x WT (il),53.27635327635327,rep1
14,WT (ic) x WT (il),45.14733983707131,rep2
0,∆cox4 x ∆cox4∆cob,56.3961071536069,rep2
1,∆cox4 x ∆cox4∆cob,45.547048156357045,rep3
2,∆cox4 x ∆cox4∆cob,61.17753441173516,rep1
3,∆cox4 x ∆cox4 (ic),58.60853805879984,rep1
4,∆cox4 x ∆cox4 (ic),51.21334681496461,rep2
5,∆cox4 x ∆cox4 (ic),54.32136029781668,rep3
6,∆cox4 x ∆cox4 (il),55.97276459397217,rep1
7,∆cox4 x ∆cox4 (il),50.99099099099099,rep2
8,∆cox4 x ∆cox4 (il),57.51025718002601,rep3
9,∆cox4 x ∆cox4∆cox2,60.147486497715,rep1
10,∆cox4 x ∆cox4∆cox2,49.91828396322779,rep2
11,∆cox4 x ∆cox4∆cox2,44.550102249488754,rep3
12,∆cox4 x ∆cox4∆atp6,47.902027705280065,rep2
13,∆cox4 x ∆cox4∆atp6,39.80719019883511,rep3
14,∆cox4 x ∆cox4∆atp6,50.12566602995878,rep1
0,∆rip1 x ∆rip1∆cob,56.95224719101124,rep1
1,∆rip1 x ∆rip1∆cob,68.2342324275544,rep2
2,∆rip1 x ∆rip1∆cob,48.416926324253695,rep3
3,∆rip1 x ∆rip1 (ic),58.8135083675719,rep1
4,∆rip1 x ∆rip1 (ic),48.596913209059933,rep2
5,∆rip1 x ∆rip1 (ic),62.34481377653185,rep3
6,∆rip1 x ∆rip1 (il),44.77058705670206,rep1
7,∆rip1 x ∆rip1 (il),61.86805486034638,rep2
8,∆rip1 x ∆rip1 (il),55.8435061036622,rep3
9,∆rip1 x ∆rip1∆cox2,57.98412219877399,rep1
10,∆rip1 x ∆rip1∆cox2,63.42490475235613,rep2
11,∆rip1 x ∆rip1∆cox2,49.21334803086481,rep3
12,∆rip1 x ∆rip1∆atp6,34.70535086838671,rep1
13,∆rip1 x ∆rip1∆atp6,41.685900652283003,rep2
14,∆rip1 x ∆rip1∆atp6,50.39591059436704,rep3
