Unnamed: 0,Strain,Ratio,Replicate,WT_doubling_time,WT_growth_rate
0,WT (ic) and WT (ic),52.20171943803732,rep2,1.48369631,0.46717591456431223
1,WT (ic) and WT (ic),52.10359408033827,rep1,1.48369631,0.46717591456431223
2,WT (ic) and WT (ic),53.36205085101913,rep3,1.48369631,0.46717591456431223
3,WT (ic) and WT (il),49.61232401550704,rep1,1.48369631,0.46717591456431223
4,WT (ic) and WT (il),54.935578776504016,rep2,1.48369631,0.46717591456431223
5,WT (ic) and WT (il),43.39334757400061,rep3,1.48369631,0.46717591456431223
6,WT (ic) and ∆atp6,30.61577608142494,rep2,1.48369631,0.46717591456431223
7,WT (ic) and ∆atp6,35.78819233110164,rep1,1.48369631,0.46717591456431223
8,WT (ic) and ∆atp6,37.11340206185567,rep3,1.48369631,0.46717591456431223
9,WT (ic) and ∆cob,52.18090452261307,rep1,1.48369631,0.46717591456431223
10,WT (ic) and ∆cob,49.132310161500655,rep2,1.48369631,0.46717591456431223
11,WT (ic) and ∆cob,67.91007157979635,rep3,1.48369631,0.46717591456431223
12,WT (ic) and ∆cox2,56.133979015334944,rep1,1.48369631,0.46717591456431223
13,WT (ic) and ∆cox2,48.9091831557585,rep2,1.48369631,0.46717591456431223
14,WT (ic) and ∆cox2,37.64551067921855,rep3,1.48369631,0.46717591456431223
1,∆cox4 and ∆cox4∆atp6,57.55208333333334,rep1,1.632216,0.42466633126984743
2,∆cox4 and ∆cox4∆atp6,30.95166010697346,rep2,1.632216,0.42466633126984743
3,∆cox4 and ∆cox4∆atp6,27.18759440136945,rep3,1.632216,0.42466633126984743
10,∆cox4 and ∆cox4∆cob,57.29062060654752,rep1,1.632216,0.42466633126984743
11,∆cox4 and ∆cox4∆cob,62.12958312405825,rep2,1.632216,0.42466633126984743
12,∆cox4 and ∆cox4∆cob,52.75371287128713,rep3,1.632216,0.42466633126984743
0,∆cox4 and ∆cox4∆cox2,48.73501997336884,rep3,1.632216,0.42466633126984743
13,∆cox4 and ∆cox4∆cox2,46.12086565945284,rep1,1.632216,0.42466633126984743
14,∆cox4 and ∆cox4∆cox2,62.33211233211233,rep2,1.632216,0.42466633126984743
9,∆rip1 and ∆rip1∆atp6,23.233135618779528,rep1,1.629396,0.4254013024212317
10,∆rip1 and ∆rip1∆atp6,18.56798553926492,rep2,1.629396,0.4254013024212317
13,∆rip1 and ∆rip1∆atp6,15.56919642857143,rep3,1.629396,0.4254013024212317
0,∆rip1 and ∆rip1∆cob,68.51127819548871,rep1,1.629396,0.4254013024212317
11,∆rip1 and ∆rip1∆cob,53.61548490622806,rep2,1.629396,0.4254013024212317
12,∆rip1 and ∆rip1∆cob,50.43138041733547,rep3,1.629396,0.4254013024212317
1,∆rip1 and ∆rip1∆cox2,40.29311383256374,rep1,1.629396,0.4254013024212317
3,∆rip1 and ∆rip1∆cox2,60.62707265601447,rep2,1.629396,0.4254013024212317
5,∆rip1 and ∆rip1∆cox2,44.30812550281577,rep3,1.629396,0.4254013024212317
