strain,value
WT and WT,1.0
WT (ic) and ∆atp6,0.71
WT (ic) and ∆cob,1.07
WT (ic) and ∆cox2,0.71
WT (ic) and WT (ic),0.93
WT (ic) and WT (il),1.31
∆cox4 and ∆cox4∆atp6,0.9932695764820846
∆cox4 and ∆cox4∆cob,1.4268401194126064
∆cox4 and ∆cox4∆cox2,0.8967887091864656
∆rip1 and ∆rip1∆atp6,0.8142781176585493
∆rip1 and ∆rip1∆cob,1.1657659918278611
∆rip1 and ∆rip1∆cox2,0.8839176032963242
∆cox4 and ∆cox4 (ic),0.9884393026057371
∆cox4 and ∆cox4 (il),1.169888736668149
∆rip1 and ∆rip1 (ic),0.8628341973708226
∆rip1 and ∆rip1 (il),1.1979379980377283
