strain,growth_rate_ratio,mtdna_ratio,simulation_index,time,mean_h,nspl,ndau,ngen,startbud
WT and WT,1.0,1.0,0,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,0,1.48369631,0.478125,5,11,14,32
WT and WT,1.0,1.0,0,2.96739262,0.4984375,5,11,14,32
WT and WT,1.0,1.0,0,4.45108893,0.51796875,5,11,14,32
WT and WT,1.0,1.0,0,5.93478524,0.525390625,5,11,14,32
WT and WT,1.0,1.0,0,7.41848155,0.532421875,5,11,14,32
WT and WT,1.0,1.0,0,8.90217786,0.53125,5,11,14,32
WT and WT,1.0,1.0,0,10.385874170000001,0.533349609375,5,11,14,32
WT and WT,1.0,1.0,0,11.86957048,0.53330078125,5,11,14,32
WT and WT,1.0,1.0,0,13.35326679,0.5339111328125,5,11,14,32
WT and WT,1.0,1.0,0,14.8369631,0.534747314453125,5,11,14,32
WT and WT,1.0,1.0,0,16.32065941,0.5350677490234375,5,11,14,32
WT and WT,1.0,1.0,0,17.80435572,0.535223388671875,5,11,14,32
WT and WT,1.0,1.0,0,19.28805203,0.5352119445800781,5,11,14,32
WT and WT,1.0,1.0,0,20.771748340000002,0.5351692199707031,5,11,14,32
WT and WT,1.0,1.0,1,0.0,0.5,5,11,14,32
WT and WT,1.0,1.0,1,1.48369631,0.5,5,11,14,32
WT and WT,1.0,1.0,1,2.96739262,0.4890625,5,11,14,32
WT and WT,1.0,1.0,1,4.45108893,0.47421875,5,11,14,32
WT and WT,1.0,1.0,1,5.93478524,0.45703125,5,11,14,32
WT and WT,1.0,1.0,1,7.41848155,0.46015625,5,11,14,32
WT and WT,1.0,1.0,1,8.90217786,0.45859375,5,11,14,32
WT and WT,1.0,1.0,1,10.385874170000001,0.461181640625,5,11,14,32
WT and WT,1.0,1.0,1,11.86957048,0.4580078125,5,11,14,32
WT and WT,1.0,1.0,1,13.35326679,0.45899658203125,5,11,14,32
WT and WT,1.0,1.0,1,14.8369631,0.4591064453125,5,11,14,32
WT and WT,1.0,1.0,1,16.32065941,0.4594970703125,5,11,14,32
WT and WT,1.0,1.0,1,17.80435572,0.458929443359375,5,11,14,32
WT and WT,1.0,1.0,1,19.28805203,0.4590568542480469,5,11,14,32
WT and WT,1.0,1.0,1,20.771748340000002,0.45909690856933594,5,11,14,32
WT and WT,1.0,0.9,0,0.0,0.46875,5,11,14,32
WT and WT,1.0,0.9,0,1.48369631,0.45,5,11,14,32
WT and WT,1.0,0.9,0,2.96739262,0.453125,5,11,14,32
WT and WT,1.0,0.9,0,4.45108893,0.46484375,5,11,14,32
WT and WT,1.0,0.9,0,5.93478524,0.4546875,5,11,14,32
WT and WT,1.0,0.9,0,7.41848155,0.453125,5,11,14,32
WT and WT,1.0,0.9,0,8.90217786,0.44599609375,5,11,14,32
WT and WT,1.0,0.9,0,10.385874170000001,0.450341796875,5,11,14,32
WT and WT,1.0,0.9,0,11.86957048,0.4509765625,5,11,14,32
WT and WT,1.0,0.9,0,13.35326679,0.450244140625,5,11,14,32
WT and WT,1.0,0.9,0,14.8369631,0.451617431640625,5,11,14,32
WT and WT,1.0,0.9,0,16.32065941,0.4523345947265625,5,11,14,32
WT and WT,1.0,0.9,0,17.80435572,0.4523956298828125,5,11,14,32
WT and WT,1.0,0.9,0,19.28805203,0.45252685546875,5,11,14,32
WT and WT,1.0,0.9,0,20.771748340000002,0.45243377685546876,5,11,14,32
WT and WT,1.0,0.9,1,0.0,0.46875,5,11,14,32
WT and WT,1.0,0.9,1,1.48369631,0.478125,5,11,14,32
WT and WT,1.0,0.9,1,2.96739262,0.4953125,5,11,14,32
WT and WT,1.0,0.9,1,4.45108893,0.47890625,5,11,14,32
WT and WT,1.0,0.9,1,5.93478524,0.473828125,5,11,14,32
WT and WT,1.0,0.9,1,7.41848155,0.473828125,5,11,14,32
WT and WT,1.0,0.9,1,8.90217786,0.476953125,5,11,14,32
WT and WT,1.0,0.9,1,10.385874170000001,0.47822265625,5,11,14,32
WT and WT,1.0,0.9,1,11.86957048,0.4760009765625,5,11,14,32
WT and WT,1.0,0.9,1,13.35326679,0.475634765625,5,11,14,32
WT and WT,1.0,0.9,1,14.8369631,0.4757568359375,5,11,14,32
WT and WT,1.0,0.9,1,16.32065941,0.4757171630859375,5,11,14,32
WT and WT,1.0,0.9,1,17.80435572,0.47571868896484376,5,11,14,32
